INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jepywf', '女', '0000000000', 'zy', '08012004', '04-07-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rgnseqbs', '女', '0000004496', 'gl', '08012009', '06-02-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pqubja', '男', '0000004497', 'jd', '08012006', '06-14-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vwkus', '男', '0000004498', 'jd', '08012018', '08-05-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hixvpme', '男', '0000004499', 'zd', '08012021', '11-22-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hiydfn', '女', '0000004500', 'yh', '08012000', '09-06-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Waxwhh', '女', '0000004501', 'zd', '08012020', '03-18-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bfvzhnh', '男', '0000004502', 'jd', '08012021', '05-31-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ntbw', '女', '0000004503', 'js', '08012022', '03-24-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Avuq', '女', '0000004504', 'jd', '08012004', '09-13-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ohdfl', '女', '0000004505', 'zy', '08012005', '08-17-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Iirfqtc', '女', '0000004506', 'jd', '08012015', '09-30-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lvscb', '男', '0000004507', 'yh', '08012012', '12-04-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fakeeei', NULL, '0000004508', 'zd', '08012006', '03-13-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pmqg', '男', '0000004509', 'yh', '08012023', '05-07-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Clzjwg', '男', '0000004510', 'zy', '08012017', '01-17-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jneym', '女', '0000004511', 'jx', '08012016', '09-07-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zfsr', '男', '0000004512', 'zd', '08012019', '06-26-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Aozwetra', '男', '0000004513', 'gl', '08012003', '02-06-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kruo', '男', '0000004514', 'js', '08012021', '05-05-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xcpwpxor', '男', '0000004515', 'jx', '08012006', '11-17-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ppwohzrq', '女', '0000004516', 'js', '08012018', '12-30-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dynptr', '男', '0000004517', 'yh', '08012011', '05-17-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ddjsps', '女', '0000004518', 'jd', '08012021', '02-01-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pldxe', '男', '0000004519', 'gl', '08012016', '06-20-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jmdv', '男', '0000004520', 'yh', '08012009', '08-28-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vkoo', '男', '0000004521', 'jx', '08012018', '12-15-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zykftaf', '男', '0000004522', 'zy', '08012017', '03-08-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zvajtnl', '男', '0000004523', 'jd', '08012017', '05-01-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fcrw', '女', '0000004524', 'jx', '08012020', '10-24-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Siycks', '男', '0000004525', 'jd', '08012011', '10-31-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Cjelfzo', '女', '0000004526', 'jx', '08012006', '01-09-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kjvxke', '女', '0000004527', 'zd', '08012011', '07-16-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Infqae', '男', '0000004528', 'gl', '08012019', '04-30-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lgyeueeo', '男', '0000004529', 'yh', '08012018', '03-24-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tjsjq', '男', '0000004530', 'gl', '08012023', '03-11-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wwqibqu', '男', '0000004531', 'gl', '08012009', '03-31-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ecpg', '女', '0000004532', 'gl', '08012015', '02-11-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bsnboyg', '男', '0000004533', 'zy', '08012012', '07-17-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Btutioi', '男', '0000004534', 'jd', '08012014', '06-24-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tyaj', '男', '0000004535', 'yh', '08012012', '04-05-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Byrsie', '男', '0000004536', 'gl', '08012014', '10-17-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xppvtzu', '男', '0000004537', 'jx', '08012019', '07-12-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nrtphrb', '男', '0000004538', 'zy', '08012017', '01-25-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ztowdch', '女', '0000004539', 'jx', '08012002', '03-20-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pzkefda', '女', '0000004540', 'zd', '08012021', '02-14-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wkos', '女', '0000004541', 'zy', '08012020', '08-24-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wrrpso', '女', '0000004542', 'jx', '08012023', '02-17-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Txbspyv', '女', '0000004543', 'zd', '08012011', '03-15-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Cpjfgys', '男', '0000004544', 'zd', '08012017', '08-14-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rhzv', NULL, '0000004545', 'gl', '08012023', '02-28-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Cvoo', '男', '0000004546', 'js', '08012015', '03-08-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ammnho', '男', '0000004547', 'zy', '08012013', '02-23-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yodhays', NULL, '0000004548', 'zd', '08012003', '10-17-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bavpgi', '女', '0000004549', 'gl', '08012004', '03-03-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rpfwzkop', '女', '0000004550', 'js', '08012020', '08-07-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uciifzfr', '女', '0000004551', 'jd', '08012010', '03-04-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hxwbytct', '女', '0000004552', 'zy', '08012007', '03-24-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hfxaus', '女', '0000004553', 'jx', '08012011', '06-28-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zkothg', '男', '0000004554', 'jx', '08012023', '11-22-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ubstwie', '男', '0000004555', 'yh', '08012022', '11-05-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lzkdx', '女', '0000004556', 'zy', '08012022', '09-30-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Twob', '女', '0000004557', 'js', '08012018', '03-27-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jnndgpn', '女', '0000004558', 'js', '08012013', '07-27-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kbxg', '女', '0000004559', 'yh', '08012021', '04-15-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Skeklwix', '男', '0000004560', 'jd', '08012003', '05-20-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Abychorh', '男', '0000004561', 'yh', '08012023', '02-04-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ljmp', '男', '0000004562', 'js', '08012015', '12-24-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mtdzr', '女', '0000004563', 'jd', '08012016', '05-01-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ynxe', '男', '0000004564', 'jx', '08012017', '12-09-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nugjzwry', '女', '0000004565', 'gl', '08012001', '08-12-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Izqpdv', '女', '0000004566', 'yh', '08012018', '06-18-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hntuqgwp', '女', '0000004567', 'jx', '08012008', '01-04-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Shneufi', '女', '0000004568', 'zd', '08012002', '01-31-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ovevv', '女', '0000004569', 'zd', '08012001', '06-20-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fehfgznl', '女', '0000004570', 'jd', '08012011', '04-06-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uvkymx', '女', '0000004571', 'jd', '08012002', '06-28-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vfrjfn', '女', '0000004572', 'zy', '08012020', '05-20-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jsodm', '女', '0000004573', 'js', '08012008', '02-14-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ivdhcak', '男', '0000004574', 'jd', '08012022', '10-07-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Aothk', '男', '0000004575', 'jx', '08012019', '02-05-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Wartb', '男', '0000004576', 'yh', '08012001', '06-10-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gamqmd', '男', '0000004577', 'jx', '08012008', '07-27-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bvta', '男', '0000004578', 'jd', '08012021', '09-04-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dhjy', '女', '0000004579', 'jd', '08012015', '12-12-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oaftdwos', '男', '0000004580', 'jx', '08012013', '12-08-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bazavjh', '男', '0000004581', 'zd', '08012006', '06-26-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rgjkzx', '男', '0000004582', 'yh', '08012006', '06-07-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Fhqwuz', '男', '0000004583', 'js', '08012022', '05-13-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qohngejm', NULL, '0000004584', 'jd', '08012017', '10-15-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bbsex', '女', '0000004585', 'zy', '08012019', '08-01-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Smpd', '女', '0000004586', 'js', '08012013', '07-06-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ldjfg', '女', '0000004587', 'zd', '08012006', '03-12-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hjorcxh', '男', '0000004588', 'zy', '08012005', '02-23-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gvtpi', '女', '0000004589', 'yh', '08012006', '10-29-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lmxvi', '男', '0000004590', 'gl', '08012023', '01-12-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Foidn', '女', '0000004591', 'zd', '08012014', '04-14-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Uhtubh', '女', '0000004592', 'jx', '08012011', '04-24-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bhzvtlvr', '女', '0000004593', 'gl', '08012000', '03-14-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ocltl', '男', '0000004594', 'js', '08012005', '08-28-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vctbcoy', '男', '0000004595', 'jd', '08012009', '08-05-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zertrse', '男', '0000004596', 'jd', '08012019', '10-21-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vaaqsq', '男', '0000004597', 'zd', '08012017', '12-21-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Pqca', '男', '0000004598', 'yh', '08012012', '11-12-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Egndrh', '女', '0000004599', 'zd', '08012004', '02-23-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kebj', '男', '0000004600', 'jd', '08012014', '08-10-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Evdwkqxv', '女', '0000004601', 'jx', '08012003', '12-11-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Sewqkbto', '男', '0000004602', 'gl', '08012005', '02-04-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gdpnvru', '男', '0000004603', 'jd', '08012021', '04-13-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lhdlihfy', '男', '0000004604', 'jd', '08012015', '10-23-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Iockjzuw', '男', '0000004605', 'zd', '08012002', '07-01-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tfldep', '男', '0000004606', 'yh', '08012000', '07-15-1985');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zkwu', '男', '0000004607', 'zd', '08012019', '06-06-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vsktxptb', '女', '0000004608', 'jx', '08012005', '11-04-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qrvhkb', '男', '0000004609', 'zd', '08012005', '10-22-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nwenzob', '男', '0000004610', 'zy', '08012006', '09-19-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gjcbzy', '女', '0000004611', 'jx', '08012016', '06-20-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hdgobq', '女', '0000004612', 'gl', '08012005', '01-02-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dosiryr', '男', '0000004613', 'zy', '08012003', '06-20-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hwjhgbm', NULL, '0000004614', 'zy', '08012000', '04-15-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lgke', '女', '0000004615', 'zd', '08012021', '04-05-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yfcj', '女', '0000004616', 'jx', '08012005', '01-26-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ovzzbjns', '女', '0000004617', 'zd', '08012005', '08-24-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zqibl', '女', '0000004618', 'jx', '08012014', '11-11-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Eekwr', '男', '0000004619', 'jd', '08012018', '01-05-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vmhlurs', '男', '0000004620', 'yh', '08012010', '07-16-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dyfmf', '男', '0000004621', 'gl', '08012016', '11-01-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dujy', '女', '0000004622', 'yh', '08012004', '10-05-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dxrbtcz', '男', '0000004623', 'zd', '08012023', '06-28-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rjqab', '男', '0000004624', 'zd', '08012002', '12-30-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dhyoujkl', '男', '0000004625', 'jx', '08012005', '10-04-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Plmic', '女', '0000004626', 'zd', '08012023', '09-27-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kxzc', '男', '0000004627', 'jd', '08012021', '03-14-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Urxrxly', '男', '0000004628', 'jd', '08012010', '10-12-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nbhtz', '女', '0000004629', 'yh', '08012015', '05-23-1997');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lkyvxhh', '男', '0000004630', 'zd', '08012016', '11-18-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ofaeqnyt', '女', '0000004631', 'zy', '08012017', '02-02-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gnszn', '男', '0000004632', 'zy', '08012022', '11-30-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vlbpunt', '男', '0000004633', 'gl', '08012014', '06-07-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ruubry', '女', '0000004634', 'zd', '08012023', '05-23-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vgvm', '女', '0000004635', 'yh', '08012006', '10-26-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Omqxmtgn', '男', '0000004636', 'js', '08012001', '03-01-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zdywozf', '女', '0000004637', 'js', '08012020', '02-12-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mrgs', '女', '0000004638', 'jx', '08012007', '12-06-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rqzzgsh', '女', '0000004639', 'gl', '08012003', '09-16-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zosm', '男', '0000004640', 'yh', '08012023', '03-12-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vekabf', '男', '0000004641', 'zd', '08012022', '10-24-1982');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vpig', '女', '0000004642', 'zd', '08012007', '11-18-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hxvymirt', '男', '0000004643', 'jd', '08012021', '08-29-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kqtlso', '女', '0000004644', 'zd', '08012013', '01-22-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Esazmo', '女', '0000004645', 'zd', '08012003', '06-23-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qgvpk', '女', '0000004646', 'zy', '08012012', '08-11-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nnuc', '男', '0000004647', 'gl', '08012019', '05-07-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tboscug', NULL, '0000004648', 'jd', '08012010', '01-30-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tqskkq', '男', '0000004649', 'gl', '08012021', '09-22-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oomgotjv', NULL, '0000004650', 'zd', '08012017', '12-03-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tfguuye', '女', '0000004651', 'js', '08012004', '09-12-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xynde', '男', '0000004652', 'zy', '08012010', '08-22-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dcpo', '男', '0000004653', 'jx', '08012013', '03-05-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oyzewkd', '女', '0000004654', 'jx', '08012018', '09-29-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Kgzyvrkw', '男', '0000004655', 'zd', '08012001', '05-21-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Blbcckf', '男', '0000004656', 'gl', '08012023', '02-23-1998');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ctniy', '男', '0000004657', 'js', '08012023', '11-10-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tych', '女', '0000004658', 'jd', '08012008', '07-18-1999');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Hzfcm', '男', '0000004659', 'gl', '08012015', '11-11-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nfpts', '男', '0000004660', 'zy', '08012001', '10-16-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zwhm', '女', '0000004661', 'jx', '08012015', '08-20-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ifwkx', '女', '0000004662', 'zy', '08012013', '05-05-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rvidlvcu', '女', '0000004663', 'yh', '08012005', '04-09-1984');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ljcjcibj', '女', '0000004664', 'zd', '08012008', '03-31-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Mqsnkh', '男', '0000004665', 'zd', '08012018', '09-23-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Bjvyn', '男', '0000004666', 'gl', '08012006', '01-12-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lgqmjrpt', '女', '0000004667', 'jx', '08012016', '09-07-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rsqa', '女', '0000004668', 'yh', '08012014', '02-05-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ihoh', '女', '0000004669', 'gl', '08012010', '09-01-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xwikmz', NULL, '0000004670', 'gl', '08012013', '05-03-2000');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Qcoyf', '女', '0000004671', 'jd', '08012006', '10-06-1987');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ramnbd', '男', '0000004672', 'gl', '08012019', '05-28-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ymhq', '男', '0000004673', 'yh', '08012017', '10-20-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Rtltli', '男', '0000004674', 'zy', '08012015', '03-31-1980');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Dvzu', '女', '0000004675', 'jd', '08012004', '03-29-1989');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Ydouhfq', '女', '0000004676', 'js', '08012019', '10-23-1990');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Lhrpliia', '男', '0000004677', 'jd', '08012009', '08-09-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vrgk', '女', '0000004678', 'zy', '08012022', '08-10-1991');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Gpwm', '女', '0000004679', 'jx', '08012023', '11-06-1992');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Myegww', '女', '0000004680', 'yh', '08012019', '06-25-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Jsfz', '男', '0000004681', 'gl', '08012018', '01-05-1994');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Zztihh', '男', '0000004682', 'gl', '08012007', '06-10-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Tkwhvkn', '男', '0000004683', 'gl', '08012007', '05-19-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Cljsmbau', '男', '0000004684', 'jx', '08012003', '11-20-1981');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xpwwfqzi', '男', '0000004685', 'gl', '08012005', '01-15-1996');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Yxrkgyv', '女', '0000004686', 'js', '08012012', '03-27-1983');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Oyaw', '女', '0000004687', 'yh', '08012022', '04-22-1986');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vaifcly', '女', '0000004688', 'js', '08012017', '06-06-1993');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Nkxrrhbr', '男', '0000004689', 'zy', '08012017', '01-08-1995');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Xdmrqelt', '男', '0000004690', 'zy', '08012014', '11-09-1988');
INSERT INTO xs (xm, xb, xh, ydh, bj, chrq) VALUES ('Vczqsag', '女', '0000004691', 'zd', '08012008', '01-19-1983');
